constellation,algorithm,isl,deliverable_per_snapshot,delivery_rate,non_optimal_egress_rate,stretch_dist_shared,stretch_hop_shared,fstate_proxy,fstate_installed,fstate_markers,fstate_neighbors,fstate_updates_per_snapshot,compute_time_ms,aux_decisions_per_sat_mean,aux_decisions_per_sat_max,aux_distance_evals_per_sat_mean,aux_distance_evals_per_sat_max,aux_cache_pairs_per_sat_mean,aux_cache_pairs_per_sat_max,aux_lsdb_node_entries,aux_lsdb_link_entries,aux_spf_tree_entries_per_sat,aux_spf_all_pairs_entries,aux_spf_all_pairs_build_ms,aux_lsdb_entries,aux_geometry_build_ms,aux_geometry_row_edge_entries,aux_geometry_plane_edge_entries,aux_path_cost_row_entries,aux_path_cost_plane_entries,aux_pivot_cache_entries,aux_geometry_entries,aux_path_cost_entries
oneweb,shortest_path_link_state,grid,552.0,1.0,0.0,1.0,1.0663956689748926,648.0,24.0,0.0,4.643368484224966,21.522847243715397,1535.7626837109112,,,,,,,648.0,1296.0,648.0,419904.0,559.7906075935397,1944.0,,,,,,,,
oneweb,shortest_path_link_state,grid_seam,552.0,1.0,0.0,1.0,1.0592430994027644,648.0,24.0,0.0,4.532257373113855,21.437166855806595,1521.2869547773153,,,,,,,648.0,1260.0,648.0,419904.0,541.8536151552366,1908.0,,,,,,,,
oneweb,shortest_path_link_state,ring,153.55,1.0,0.0,1.0,1.0,648.0,6.963271604938272,17.03672839506173,2.6433684842249656,5.774179820489013,1252.1127996293621,,,,,,,648.0,648.0,648.0,419904.0,587.5058740584386,1296.0,,,,,,,,
oneweb,topological_routing,grid,552.0,1.0,0.0,1.0000000000414928,1.0663956689748926,4.643368484224966,24.0,0.0,4.643368484224966,0.03560989029884108,1942.4788577740806,24.0,24.0,536.9027777777778,552.0,83.76213991769546,96.0,,,,,,,214.29530543068216,648.0,648.0,23328.0,11664.0,158099.84166666667,1296.0,34992.0
oneweb,topological_routing,grid_seam,552.0,1.0,0.0,1.0000000000007878,1.0592430994027644,4.532257373113855,24.0,0.0,4.532257373113855,0.03560989029884108,1930.3988970660914,24.0,24.0,534.2361111111111,552.0,81.04524605624142,96.0,,,,,,,204.43886583153574,648.0,648.0,23328.0,11664.0,158099.84166666667,1296.0,34992.0
oneweb,topological_routing,ring,153.55,1.0,0.0,1.0,1.0,2.6433684842249656,6.963271604938272,0.0,2.6433684842249656,0.03560989029884108,1651.2679549710203,6.963271604938272,11.0,145.88919753086418,221.0,10.763846021947874,18.0,,,,,,,181.58712275326252,648.0,648.0,23328.0,11664.0,158099.84166666667,1296.0,34992.0
starlink,dra_routing,grid,552.0,1.0,0.48642814009661833,1.0721611326053462,1.0,4.240675855780022,24.0,0.0,4.240675855780022,0.024605385329619315,1534.7915151104744,24.0,24.0,501.23055555555555,515.0,91.69544051627385,96.0,,,,,,,,,,,,,,
starlink,dra_routing,grid_seam,552.0,0.7699979871175523,0.43024821258185525,1.0598005471327463,1.0000063438376272,4.1497667648709315,24.0,0.0,4.1497667648709315,0.024605385329619315,1532.1308437631362,24.0,24.0,499.0487373737373,515.0,89.61955667789,96.0,,,,,,,,,,,,,,
starlink,dra_routing,ring,126.59722222222223,0.5217772901810203,0.0,1.0,1.0,2.2406758557800224,24.0,0.0,2.2406758557800224,0.024605385329619315,1326.9210500953097,24.0,24.0,453.23055555555555,467.0,45.847720258136924,48.0,,,,,,,,,,,,,,
starlink,explicit_path_routing,grid,552.0,1.0,0.0,1.0,1.1515580142546908,4.603175855780022,24.0,0.0,4.240675855780022,0.6541933963591345,1642.1967993697358,,,,,,,,,,,,,,,,,,,,
starlink,explicit_path_routing,grid_seam,552.0,1.0,0.0,1.0,1.1610383701460656,4.512266764870931,24.0,0.0,4.1497667648709315,0.6568224022959399,1623.5695719356752,,,,,,,,,,,,,,,,,,,,
starlink,explicit_path_routing,ring,126.59722222222223,1.0,0.0,1.0,1.0,2.3353710718294054,5.262247474747475,18.737752525252525,2.2406758557800224,0.1880767986269379,387.4459480142428,,,,,,,,,,,,,,,,,,,,
starlink,shortest_path_link_state,grid,552.0,1.0,0.0,1.0,1.1515580142546908,1584.0,24.0,0.0,4.240675855780022,38.07146851523593,18652.479135307174,,,,,,,1584.0,3168.0,1584.0,2509056.0,16210.215118139362,4752.0,,,,,,,,
starlink,shortest_path_link_state,grid_seam,552.0,1.0,0.0,1.0,1.1610383701460656,1584.0,24.0,0.0,4.1497667648709315,38.04739596522327,18773.617320067973,,,,,,,1584.0,3096.0,1584.0,2509056.0,16237.5697703049,4680.0,,,,,,,,
starlink,shortest_path_link_state,ring,126.59722222222223,1.0,0.0,1.0,1.0,1584.0,5.262247474747475,18.737752525252525,2.2406758557800224,8.139993247235587,17675.521427812055,,,,,,,1584.0,1584.0,1584.0,2509056.0,16006.99805609054,3168.0,,,,,,,,
starlink,topological_routing,grid,552.0,1.0,0.0,1.0,1.1515580142546908,4.240675855780022,24.0,0.0,4.240675855780022,0.024605385329619315,14358.214762527496,24.0,24.0,501.23055555555555,515.0,92.92237654320988,96.0,,,,,,,1901.347236826809,1584.0,1584.0,114048.0,34848.0,472727.77222222224,3168.0,148896.0
starlink,topological_routing,grid_seam,552.0,1.0,0.0,1.0,1.1610383701460656,4.1497667648709315,24.0,0.0,4.1497667648709315,0.024605385329619315,14461.889981349103,24.0,24.0,499.0487373737373,515.0,90.4859252244669,96.0,,,,,,,1852.6312071778293,1584.0,1584.0,114048.0,34848.0,472727.77222222224,3168.0,148896.0
starlink,topological_routing,ring,126.59722222222223,1.0,0.0,1.0,1.0,2.2406758557800224,5.262247474747475,0.0,2.2406758557800224,0.024605385329619315,12337.358457522674,5.262247474747475,10.0,106.48459595959595,214.0,9.596362934904601,20.0,,,,,,,1713.672806482969,1584.0,1584.0,114048.0,34848.0,472727.77222222224,3168.0,148896.0
telesat,dra_routing,grid,552.0,1.0,0.25024154589371983,1.0397788026472141,1.0157941283477214,4.523171889838556,24.0,0.0,4.523171889838556,0.04812354673078907,242.8157070910351,24.0,24.0,303.6333333333333,313.0,78.80585628363406,96.0,,,,,,,,,,,,,,
telesat,dra_routing,grid_seam,552.0,0.9105374396135266,0.22655326016071448,1.0360393977100029,1.0156982814131237,4.449097815764483,24.0,0.0,4.449097815764483,0.04812354673078907,239.21061457755664,24.0,24.0,301.85555555555555,313.0,77.3556663501108,96.0,,,,,,,,,,,,,,
telesat,dra_routing,ring,129.41944444444445,0.8839046167714795,0.01660919819338546,1.0090514464459475,1.0064664462744937,2.5231718898385567,24.0,0.0,2.5231718898385567,0.04812354673078907,191.51876628295415,24.0,24.0,255.63333333333333,265.0,39.40292814181703,48.0,,,,,,,,,,,,,,
telesat,explicit_path_routing,grid,552.0,1.0,0.0,1.0,1.0056647668287155,6.032193732193733,24.0,0.0,4.523171889838556,1.2316183764651731,269.39181989679736,,,,,,,,,,,,,,,,,,,,
telesat,explicit_path_routing,grid_seam,552.0,1.0,0.0,1.0,1.0027231490460482,5.958119658119658,24.0,0.0,4.449097815764483,1.23316588497647,269.10852783670026,,,,,,,,,,,,,,,,,,,,
telesat,explicit_path_routing,ring,129.41944444444445,1.0,0.0,1.0,1.0,2.9214624881291553,5.752366255144032,18.247633744855968,2.5231718898385567,0.32700838828972534,74.85944513334996,,,,,,,,,,,,,,,,,,,,
telesat,shortest_path_link_state,grid,552.0,1.0,0.0,1.0,1.0056647668287155,351.0,24.0,0.0,4.523171889838556,14.685308192271979,426.20590838810637,,,,,,,351.0,702.0,351.0,123201.0,96.69686654168699,1053.0,,,,,,,,
telesat,shortest_path_link_state,grid_seam,552.0,1.0,0.0,1.0,1.0027231490460482,351.0,24.0,0.0,4.449097815764483,14.603282305232165,421.86759781195883,,,,,,,351.0,689.0,351.0,123201.0,92.47688050899241,1040.0,,,,,,,,
telesat,shortest_path_link_state,ring,129.41944444444445,1.0,0.0,1.0,1.0,351.0,5.752366255144032,18.247633744855968,2.5231718898385567,3.488893650453539,283.4898751591229,,,,,,,351.0,351.0,351.0,123201.0,95.18695844130383,702.0,,,,,,,,
telesat,topological_routing,grid,552.0,1.0,5.032206119162641e-05,1.0000008557817033,1.0056629826829095,4.523171889838556,24.0,0.0,4.523171889838556,0.04812354673078907,425.08375065711635,24.0,24.0,303.6333333333333,313.0,77.99309908198796,96.0,,,,,,,68.51740006046991,351.0,351.0,4563.0,9477.0,40809.02777777778,702.0,14040.0
telesat,topological_routing,grid_seam,552.0,1.0,0.0,1.0000000016799366,1.0027231490460482,4.449097815764483,24.0,0.0,4.449097815764483,0.04812354673078907,406.15646553536254,24.0,24.0,301.85555555555555,313.0,76.39610636277303,96.0,,,,,,,54.110554388413824,351.0,351.0,4563.0,9477.0,40809.02777777778,702.0,14040.0
telesat,topological_routing,ring,129.41944444444445,1.0,0.0,1.0,1.0,2.5231718898385567,5.752366255144032,0.0,2.5231718898385567,0.04812354673078907,257.86953937365774,5.752366255144032,10.0,63.00668724279836,112.0,7.6116650838873054,14.0,,,,,,,25.60481207134823,351.0,351.0,4563.0,9477.0,40809.02777777778,702.0,14040.0
