constellation,condition,seed,variant,deliverable_per_snapshot,delivery_rate,non_optimal_egress_rate,stretch_dist_shared,stretch_hop_shared,isls_removed_per_snapshot,satellites_down_per_snapshot,fstate_updates_per_snapshot,compute_time_ms,loop_pairs_per_snapshot,live_minima_per_snapshot,detour_entries_per_snapshot,failure_events_per_snapshot,exception_entries_per_snapshot,exception_entries_one_pass_per_snapshot,exception_satellites_per_snapshot,exception_share_of_link_state,exception_hops_to_failure_mean,exception_hops_to_failure_max,exception_unresolved_total,failure_share_loop,failure_share_dead_end,failure_share_link_down,failure_share_hop_limit,failure_share_egress_lost,delivery_gap_vs_link_state
kuiper,isl_p0.01,3,topological_nominal_progress_repair_exceptions,552.0,1.0,0.02004830917874396,1.0033149695528205,1.0156666314320948,19.933333333333334,0.0,0.029558383672511877,4959.627335549642,0.0,0.0,34.55,4.366666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0
kuiper,isl_p0.01,3,topological_observed,552.0,1.0,0.006219806763285024,1.0002832475134678,1.0111299903719506,19.933333333333334,0.0,0.029558383672511877,4357.300367858261,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,3,topological_observed_progress,552.0,1.0,0.006219806763285024,1.0002832475134678,1.0111299903719506,19.933333333333334,0.0,0.029558383672511877,4372.615420383711,0.0,0.0,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,4,dra,552.0,0.9402475845410628,0.2754246812883337,1.034289358583388,1.0000483910100653,23.633333333333333,0.0,0.029558383672511877,1160.3406608725588,32.983333333333334,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.05975241545893717
kuiper,isl_p0.01,4,explicit_r1,552.0,1.0,0.0,1.0,1.010979078629126,23.633333333333333,0.0,0.7768605946865287,4176.279729170104,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,4,explicit_r15,552.0,0.9475543478260869,0.541216582226046,1.3066933148415791,1.2730775889745156,23.633333333333333,0.0,0.7111606357398392,1021.169115913411,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.05244565217391306
kuiper,isl_p0.01,4,link_state,552.0,1.0,0.0,1.0,1.010979078629126,23.633333333333333,0.0,32.669330244560435,8080.618490247677,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,4,topological_nominal,552.0,0.9793780193236715,0.01797330209328853,1.001662161533511,1.013347414555151,23.633333333333333,0.0,0.029558383672511877,4665.277256226788,11.383333333333333,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.020621980676328477
kuiper,isl_p0.01,4,topological_nominal_progress,552.0,0.9741545893719806,0.01506322836598066,1.0006934925385782,1.0116673150887072,23.633333333333333,0.0,0.029558383672511877,4334.935052879155,0.0,24.566666666666666,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.025845410628019372
kuiper,isl_p0.01,4,topological_nominal_progress_exceptions,552.0,1.0,0.025996376811594203,1.0021207405055441,1.0136669877358313,23.633333333333333,0.0,0.029558383672511877,4901.275487771879,0.0,24.566666666666666,0.0,5.416666666666667,28.55,856.85,17.483333333333334,0.0010290513264129182,0.13543490951546994,1.0,0.0,,,,,,0.0
kuiper,isl_p0.01,4,topological_nominal_progress_repair,552.0,0.9999698067632851,0.02877502340046499,1.0041608478302813,1.0168118894608758,23.633333333333333,0.0,0.029558383672511877,4500.70686203738,0.0,0.016666666666666666,40.916666666666664,,,,,,,,,0.0,1.0,0.0,0.0,0.0,3.019323671493712e-05
kuiper,isl_p0.01,4,topological_nominal_progress_repair_exceptions,552.0,1.0,0.028804347826086957,1.004165796393992,1.0168138979585772,23.633333333333333,0.0,0.029558383672511877,4979.654798284173,0.0,0.016666666666666666,40.916666666666664,5.416666666666667,0.016666666666666666,0.18333333333333332,0.016666666666666666,6.007304882737409e-07,0.0,0.0,0.0,,,,,,0.0
kuiper,isl_p0.01,4,topological_observed,552.0,1.0,0.007004830917874396,1.0003437722635216,1.0111767794730682,23.633333333333333,0.0,0.029558383672511877,4391.571713301043,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,4,topological_observed_progress,552.0,1.0,0.007004830917874396,1.0003437722635216,1.0111767794730682,23.633333333333333,0.0,0.029558383672511877,4477.714640150468,0.0,0.0,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,5,dra,552.0,0.9426328502415459,0.2720051249199231,1.034348910836155,1.0000489446276262,22.35,0.0,0.029558383672511877,1158.5380918967228,31.666666666666668,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.05736714975845414
kuiper,isl_p0.01,5,explicit_r1,552.0,1.0,0.0,1.0,1.011041781769049,22.35,0.0,0.7768899184798546,4264.967916626483,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,5,explicit_r15,552.0,0.9710144927536232,0.5447139303482587,1.3082779368064037,1.2742868150300857,22.35,0.0,0.7111606357398392,965.2808267933627,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.02898550724637683
kuiper,isl_p0.01,5,link_state,552.0,1.0,0.0,1.0,1.011041781769049,22.35,0.0,32.66384669520849,8159.918787920226,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,5,topological_nominal,552.0,0.9769625603864734,0.011218592576567666,1.0010163060648438,1.0125418866719251,22.35,0.0,0.029558383672511877,4417.402397003025,12.716666666666667,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.023037439613526556
kuiper,isl_p0.01,5,topological_nominal_progress,552.0,0.9770229468599034,0.011712352050434192,1.000523554169809,1.0115911295427544,22.35,0.0,0.029558383672511877,4464.569513003032,0.0,25.466666666666665,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.02297705314009657
